"","trial","start_time","end_time","label","duration","subject"
"88",4,12600909,12600923,"pso",14,11
"89",4,12600924,12601021,"fixation",97,11
"90",4,12601022,12601039,"saccade",17,11
"91",4,12601040,12601067,"pso",27,11
"92",4,12601068,12601249,"fixation",181,11
"93",4,12601250,12601312,"saccade",62,11
"94",4,12601313,12601330,"pso",17,11
"95",4,12601331,12601421,"fixation",90,11
"96",4,12601422,12601460,"saccade",38,11
"97",4,12601461,12601477,"unclear",16,11
"98",4,12601478,12601634,"fixation",156,11
"99",4,12601635,12601693,"saccade",58,11
"100",4,12601694,12601707,"pso",13,11
"101",4,12601708,12601781,"fixation",73,11
"102",4,12601782,12601804,"saccade",22,11
"103",4,12601990,12602043,"saccade",53,11
"104",4,12602044,12602051,"pso",7,11
"105",4,12602052,12602192,"fixation",140,11
"106",4,12602193,12602346,"unclear",153,11
"107",4,12602347,12602383,"saccade",36,11
"108",4,12602384,12602410,"pso",26,11
"109",4,12602411,12602673,"fixation",262,11
"110",4,12602674,12602721,"saccade",47,11
"111",4,12602722,12602742,"pso",20,11
"112",4,12602743,12602868,"fixation",125,11
"113",4,12602869,12602921,"saccade",52,11
"114",4,12602922,12602939,"pso",17,11
"115",4,12602940,12603142,"fixation",202,11
"116",4,12603143,12603185,"saccade",42,11
"117",4,12603186,12603203,"pso",17,11
"118",5,12459939,12460141,"fixation",202,11
"119",5,12460142,12460201,"saccade",59,11
"120",5,12460202,12460219,"pso",17,11
"121",5,12460220,12460467,"fixation",247,11
"122",5,12460468,12460511,"saccade",43,11
"123",5,12460512,12460541,"pso",29,11
"124",5,12460542,12460852.5,"fixation",310.5,11
"125",5,12460853,12460887,"saccade",34,11
"126",5,12460888,12460905,"pso",17,11
"127",5,12460906,12461078,"fixation",172,11
"128",5,12461079,12461134,"saccade",55,11
"129",5,12461135,12461159,"pso",24,11
"130",5,12461160,12461343,"fixation",183,11
"131",5,12461344,12461395,"saccade",51,11
"132",5,12461396,12461408,"pso",12,11
"133",5,12461409,12461493,"fixation",84,11
"134",5,12461494,12461515,"saccade",21,11
"135",5,12461622,12461656,"saccade",34,11
"136",5,12461657,12461667,"pso",10,11
"137",5,12461668,12461773,"fixation",105,11
"138",5,12461774,12461848,"saccade",74,11
"139",5,12461849,12461868,"pso",19,11
"140",5,12461869,12462120,"fixation",251,11
"141",5,12462121,12462170,"saccade",49,11
"142",5,12462171,12462196,"pso",25,11
"143",5,12462197,12462316,"fixation",119,11
"144",5,12462317,12462365,"saccade",48,11
"145",6,12531060,12531351,"fixation",291,11
"146",6,12531352,12531375,"saccade",23,11
"147",6,12531492,12531534,"saccade",42,11
"148",6,12531535,12531565,"pso",30,11
"149",6,12531566,12531687,"fixation",121,11
"150",6,12531688,12531735,"saccade",47,11
"151",6,12531736,12531754,"pso",18,11
"152",6,12531755,12531889,"fixation",134,11
"153",6,12531890,12531918,"saccade",28,11
"154",6,12531919,12531936,"pso",17,11
"155",6,12531937,12532222,"fixation",285,11
"156",6,12532223,12532248,"saccade",25,11
"157",6,12532249,12532281,"pso",32,11
"158",6,12532282,12532438,"fixation",156,11
"159",6,12532439,12532456,"saccade",17,11
"160",6,12532457,12532469,"pso",12,11
"161",6,12532470,12532495,"fixation",25,11
"162",6,12532496,12532514,"unclear",18,11
"163",6,12532515,12532528,"saccade",13,11
"164",6,12532667,12532708,"saccade",41,11
"165",6,12532709,12532732,"pso",23,11
"166",6,12532733,12532935,"fixation",202,11
"167",6,12532936,12532989,"saccade",53,11
"168",6,12532990,12533207,"fixation",217,11
"169",6,12533208,12533250,"saccade",42,11
"170",6,12533251,12533383,"fixation",132,11
"171",6,12533384,12533420,"saccade",36,11
"172",6,12533421,12533503,"fixation",82,11
"173",6,12533504,12533564,"saccade",60,11
"174",6,12533565,12533585,"pso",20,11
"175",6,12533586,12533718,"fixation",132,11
"176",6,12533719,12533747,"saccade",28,11
"177",6,12533797,12533828,"saccade",31,11
"178",7,12415001,12415160,"fixation",159,11
"179",7,12415161,12415206,"saccade",45,11
"180",7,12415207,12415233,"pso",26,11
"181",7,12415234,12415404,"fixation",170,11
"182",7,12415405,12415462,"saccade",57,11
"183",8,12815376,12815674,"fixation",298,11
"184",8,12815675,12815721,"saccade",46,11
"185",8,12815722,12815742,"pso",20,11
"186",8,12815743,12815877,"fixation",134,11
"187",8,12815878,12815924,"saccade",46,11
"188",8,12815925,12815947,"pso",22,11
"189",8,12815948,12816139,"fixation",191,11
"190",8,12816140,12816213,"saccade",73,11
"191",8,12816214,12816237,"pso",23,11
"192",8,12816238,12816505,"fixation",267,11
"193",8,12816506,12816559,"saccade",53,11
"194",8,12816560,12816576,"pso",16,11
"195",8,12816577,12816624,"fixation",47,11
"196",8,12816625,12816635,"unclear",10,11
"197",8,12816636,12816645,"saccade",9,11
"198",8,12816853,12816943,"saccade",90,11
"199",8,12816944,12816960,"pso",16,11
"200",8,12816961,12817004,"fixation",43,11
"201",8,12817005,12817050,"saccade",45,11
"202",8,12817051,12817073,"pso",22,11
"203",8,12817074,12817262,"fixation",188,11
"204",8,12817263,12817303,"saccade",40,11
"205",8,12817304,12817337,"pso",33,11
"206",8,12817338,12817434,"fixation",96,11
"207",8,12817435,12817471,"saccade",36,11
"208",8,12817472,12817491,"pso",19,11
"209",8,12817492,12817655,"fixation",163,11
"210",8,12817656,12817679,"saccade",23,11
"211",8,12817680,12817708,"pso",28,11
"212",8,12817709,12817847,"fixation",138,11
"213",8,12817848,12817955,"saccade",107,11
"214",8,12817956,12817967,"unclear",11,11
"215",9,12810824,12811197,"fixation",373,11
"216",9,12811198,12811312,"saccade",114,11
"217",9,12811313,12811362,"pso",49,11
"218",9,12811363,12811437,"fixation",74,11
"219",9,12811438,12811461,"saccade",23,11
"220",9,12811462,12811479,"pso",17,11
"221",9,12811480,12811598,"fixation",118,11
"222",9,12811599,12811624,"unclear",25,11
"223",9,12811625,12811634,"saccade",9,11
"224",9,12811757,12811817,"saccade",60,11
"225",9,12811818,12811864,"pso",46,11
"226",9,12811865,12811916,"fixation",51,11
"227",9,12811917,12811952,"saccade",35,11
"228",9,12811953,12811980,"pso",27,11
"229",9,12811981,12812061,"fixation",80,11
"230",9,12812062,12812130,"saccade",68,11
"231",9,12812131,12812151,"pso",20,11
"232",9,12812152,12812344,"fixation",192,11
"233",9,12812345,12812380,"saccade",35,11
"234",9,12812381,12812394,"pso",13,11
"235",9,12812395,12812503,"fixation",108,11
"236",9,12812504,12812529,"saccade",25,11
"237",9,12812731,12812772,"saccade",41,11
"238",9,12812773,12812818,"pso",45,11
"239",9,12812819,12812966,"fixation",147,11
"240",9,12812967,12813029,"saccade",62,11
"241",9,12813030,12813045,"pso",15,11
"242",9,12813046,12813156,"fixation",110,11
"243",9,12813157,12813201,"saccade",44,11
"244",9,12813202,12813221,"pso",19,11
"245",9,12813222,12813288,"fixation",66,11
"246",10,12563627,12563893,"fixation",266,11
"247",10,12563894,12564183,"saccade",289,11
"248",10,12564184,12564290,"fixation",106,11
"249",10,12564291,12564313,"saccade",22,11
"250",10,12564314,12564360,"pso",46,11
"251",10,12564361,12564665,"fixation",304,11
"252",10,12564666,12564838,"unclear",172,11
"253",10,12564839,12564907,"saccade",68,11
"254",10,12564908,12564994,"fixation",86,11
"255",10,12564995,12565050,"saccade",55,11
"256",10,12565051,12565281,"fixation",230,11
"257",10,12565282,12565303,"saccade",21,11
"258",10,12565304,12565328,"pso",24,11
"259",10,12565329,12565425,"fixation",96,11
"260",10,12565426,12565487,"saccade",61,11
"261",10,12565488,12565510,"pso",22,11
"262",10,12565511,12565645,"fixation",134,11
"263",10,12565646,12565671,"saccade",25,11
"264",10,12565857,12565911,"saccade",54,11
"265",10,12565912,12565967,"pso",55,11
"266",10,12565968,12566046,"fixation",78,11
"267",10,12566047,12566086,"saccade",39,11
"268",10,12566087,12566284,"fixation",197,11
"269",10,12566285,12566353,"saccade",68,11
"270",10,12566354,12566390,"pso",36,11
"271",10,12566391,12566497,"fixation",106,11
"272",10,12566498,12566522,"saccade",24,11
"273",10,12566523,12566547,"pso",24,11
"274",10,12566548,12566630,"fixation",82,11
"275",10,12566631,12566700,"saccade",69,11
"276",10,12566701,12566719,"pso",18,11
"277",10,12566720,12566939,"fixation",219,11
"278",10,12566940,12567023,"saccade",83,11
"279",10,12567024,12567042,"pso",18,11
"280",10,12567043,12567238,"fixation",195,11
"281",11,12579366,12579516,"fixation",150,11
"282",11,12579517,12579572,"saccade",55,11
"283",11,12579573,12579596,"pso",23,11
"284",11,12579597,12579784,"fixation",187,11
"285",11,12579785,12579848,"saccade",63,11
"286",11,12579849,12579864,"pso",15,11
"287",11,12579865,12580010,"fixation",145,11
"288",11,12580011,12580057,"saccade",46,11
"289",11,12580058,12580075,"pso",17,11
"290",11,12580076,12580154,"fixation",78,11
"291",11,12580155,12580194,"saccade",39,11
"292",11,12580195,12580210,"pso",15,11
"293",11,12580211,12580381,"fixation",170,11
"294",11,12580382,12580449,"saccade",67,11
"295",11,12580450,12580472,"pso",22,11
"296",11,12580473,12580644,"fixation",171,11
"297",11,12580645,12580678,"saccade",33,11
"298",11,12580679,12580702,"pso",23,11
"299",11,12580703,12580915,"fixation",212,11
"300",11,12580916,12580975,"saccade",59,11
"301",11,12580976,12580994,"pso",18,11
"302",11,12580995,12581059,"fixation",64,11
"303",11,12581060,12581092,"saccade",32,11
"304",11,12581093,12581110,"pso",17,11
"305",11,12581111,12581243,"fixation",132,11
"306",11,12581244,12581253,"unclear",9,11
"307",11,12581254,12581276,"saccade",22,11
"308",11,12581367,12581408,"saccade",41,11
"309",11,12581410,12581447,"saccade",37,11
"310",11,12581448,12581460,"pso",12,11
"311",11,12581461,12581622,"fixation",161,11
"312",12,12788729,12788884,"fixation",155,11
"313",12,12788885,12788939,"saccade",54,11
"314",12,12788940,12789268,"fixation",328,11
"315",12,12789269,12789309,"saccade",40,11
"316",12,12789310,12789313,"unclear",3,11
"317",12,12789314,12789365,"saccade",51,11
"318",12,12789366,12789381,"pso",15,11
"319",12,12789382,12789560,"fixation",178,11
"320",12,12789561,12789597,"saccade",36,11
"321",12,12789598,12789609,"pso",11,11
"322",12,12789610,12789755,"fixation",145,11
"323",12,12789756,12789804,"saccade",48,11
"324",12,12789805,12789824,"pso",19,11
"325",12,12789825,12789947,"fixation",122,11
"326",12,12789948,12790036,"saccade",88,11
"327",12,12790037,12790053,"pso",16,11
"328",12,12790054,12790194,"fixation",140,11
"329",13,12611725,12611933,"fixation",208,11
"330",13,12611934,12611957,"saccade",23,11
"331",13,12612086,12612151,"saccade",65,11
"332",13,12612152,12612175,"pso",23,11
"333",13,12612176,12612361,"fixation",185,11
"334",13,12612362,12612390,"saccade",28,11
"335",13,12612391,12612418,"pso",27,11
"336",13,12612419,12612620,"fixation",201,11
"337",13,12612621,12612639,"saccade",18,11
"338",13,12612640,12612672,"pso",32,11
"339",13,12612673,12612809,"fixation",136,11
"340",13,12612810,12612834,"saccade",24,11
"341",13,12612835,12612859,"pso",24,11
"342",13,12612860,12612951,"fixation",91,11
"343",13,12612952,12613006,"saccade",54,11
"344",13,12613007,12613026,"pso",19,11
"345",13,12613027,12613143,"fixation",116,11
"346",13,12613144,12613183,"saccade",39,11
"347",13,12613184,12613199,"pso",15,11
"348",13,12613200,12613332,"fixation",132,11
"349",13,12613333,12613376,"saccade",43,11
"350",13,12613377,12613396,"pso",19,11
"351",13,12613397,12613478,"fixation",81,11
"352",13,12613479,12613505,"saccade",26,11
"353",13,12613590,12613606,"saccade",16,11
"354",14,12403028,12403281,"fixation",253,11
"355",14,12403282,12403416,"saccade",134,11
"356",14,12403417,12403439,"pso",22,11
"357",14,12403440,12403929,"fixation",489,11
"358",14,12403930,12403947,"saccade",17,11
"359",14,12403948,12403981,"pso",33,11
"360",14,12403982,12404145,"fixation",163,11
"361",14,12404146,12404189,"saccade",43,11
"362",14,12404190,12404209,"pso",19,11
"363",14,12404210,12404341,"fixation",131,11
"364",14,12404342,12404411,"saccade",69,11
"365",14,12404412,12404423,"pso",11,11
"366",14,12404424,12404642,"fixation",218,11
"367",14,12404643,12404694,"saccade",51,11
"368",14,12404695,12404715,"pso",20,11
"369",14,12404716,12405059,"fixation",343,11
"370",14,12405060,12405140,"saccade",80,11
"371",14,12405141,12405161,"pso",20,11
"372",14,12405162,12405471,"fixation",309,11
"373",14,12405472,12405516,"saccade",44,11
"374",14,12405517,12405779,"fixation",262,11
"375",14,12405780,12405806,"saccade",26,11
"376",14,12405807,12405827,"pso",20,11
"377",14,12405828,12405911,"fixation",83,11
"378",15,12407090,12407177,"fixation",87,11
"379",15,12407178,12407278,"saccade",100,11
"380",15,12407279,12407379,"fixation",100,11
"381",15,12407380,12407420,"saccade",40,11
"382",15,12407421,12407438,"pso",17,11
"383",15,12407439,12407561,"fixation",122,11
"384",15,12407562,12407619,"saccade",57,11
"385",15,12407620,12407639,"pso",19,11
"386",15,12407640,12407850,"fixation",210,11
"387",15,12407851,12407890,"saccade",39,11
"388",15,12407891,12407909,"pso",18,11
"389",15,12407910,12408064,"fixation",154,11
"390",15,12408065,12408117,"saccade",52,11
"391",15,12408118,12408137,"pso",19,11
"392",15,12408138,12408233,"fixation",95,11
"393",15,12408234,12408281,"saccade",47,11
"394",15,12408282,12408302,"pso",20,11
"395",15,12408303,12408449,"fixation",146,11
"396",15,12408450,12408504,"saccade",54,11
"397",15,12408505,12408521,"pso",16,11
"398",15,12408522,12408567,"fixation",45,11
"399",15,12408568,12408585,"saccade",17,11
"400",15,12408690,12408746,"saccade",56,11
"401",15,12408747,12408769,"pso",22,11
"402",15,12408770,12408868,"fixation",98,11
"403",15,12408869,12408930,"saccade",61,11
"404",15,12408931,12408949,"pso",18,11
"405",15,12408950,12409197,"fixation",247,11
"406",15,12409198,12409232,"saccade",34,11
"407",15,12409233,12409257,"pso",24,11
"408",15,12409258,12409509,"fixation",251,11
"409",15,12409510,12409549,"saccade",39,11
"410",15,12409550,12409587,"pso",37,11
"411",15,12409588,12409635,"fixation",47,11
"412",15,12409636,12409671,"saccade",35,11
"413",15,12409672,12409682,"pso",10,11
"414",15,12409683,12409750,"fixation",67,11
"415",15,12409751,12409809,"saccade",58,11
"416",15,12409810,12410008,"fixation",198,11
"417",15,12410009,12410028,"saccade",19,11
"418",15,12410029,12410036,"pso",7,11
"419",15,12410037,12410208,"fixation",171,11
"420",15,12410209,12410226,"saccade",17,11
"421",15,12410227,12410234,"pso",7,11
"422",15,12410235,12410364,"fixation",129,11
"423",15,12410365,12410394,"saccade",29,11
"424",15,12410497,12410533,"saccade",36,11
"425",16,12757227,12757263,"fixation",36,11
"426",16,12757264,12757293,"saccade",29,11
"427",16,12757294,12757319,"pso",25,11
"428",16,12757320,12757451,"fixation",131,11
"429",16,12757452,12757517,"saccade",65,11
"430",16,12757518,12757531,"pso",13,11
"431",16,12757532,12757959,"fixation",427,11
"432",16,12757960,12757994,"saccade",34,11
"433",16,12757995,12758120,"fixation",125,11
"434",16,12758121,12758138,"saccade",17,11
"435",16,12758269,12758328,"saccade",59,11
"436",16,12758329,12758339,"pso",10,11
"437",16,12758340,12758418,"fixation",78,11
"438",16,12758419,12758474,"saccade",55,11
"439",16,12758475,12758483,"pso",8,11
"440",16,12758484,12758687,"fixation",203,11
"441",16,12758688,12758740,"saccade",52,11
"442",16,12758741,12758754,"pso",13,11
"443",16,12758755,12758828,"fixation",73,11
"444",16,12758829,12758862,"saccade",33,11
"445",16,12759094,12759120,"saccade",26,11
"446",17,12782721,12782850,"fixation",129,11
"447",17,12782851,12782932,"saccade",81,11
"448",17,12782933,12782948,"pso",15,11
"449",17,12782949,12783156,"fixation",207,11
"450",17,12783157,12783208,"saccade",51,11
"451",17,12783209,12783227,"pso",18,11
"452",17,12783228,12783476,"fixation",248,11
"453",17,12783477,12783545,"saccade",68,11
"454",17,12783546,12783702,"fixation",156,11
"455",17,12783703,12783760,"saccade",57,11
"456",17,12783761,12783771,"pso",10,11
"457",17,12783772,12783913,"fixation",141,11
"458",17,12783914,12783963,"saccade",49,11
"459",17,12783964,12783983,"pso",19,11
"460",17,12783984,12784105,"fixation",121,11
"461",17,12784106,12784131,"saccade",25,11
"462",17,12784132,12784158,"unclear",26,11
"463",17,12784159,12784175,"saccade",16,11
"464",18,12741598,12741612,"unclear",14,11
"465",18,12741845,12741925,"saccade",80,11
"466",18,12741926,12741948,"pso",22,11
"467",18,12741949,12742268,"fixation",319,11
"468",18,12742269,12742368,"saccade",99,11
"469",18,12742369,12742432,"fixation",63,11
"470",18,12742433,12742526,"saccade",93,11
"471",18,12742527,12742546,"pso",19,11
"472",18,12742547,12742670,"fixation",123,11
"473",18,12742671,12742700,"saccade",29,11
"474",18,12742701,12742898,"fixation",197,11
"475",18,12742899,12742965,"saccade",66,11
"476",18,12742966,12742992,"pso",26,11
"477",18,12742993,12743189,"fixation",196,11
"478",18,12743190,12743230,"saccade",40,11
"479",18,12743469,12743523,"saccade",54,11
"480",18,12743524,12743540,"pso",16,11
"481",18,12743541,12743704,"fixation",163,11
"482",18,12743705,12743760,"saccade",55,11
"483",18,12743761,12743782,"pso",21,11
"484",18,12743783,12743975,"fixation",192,11
"485",18,12743976,12744040,"saccade",64,11
"486",18,12744041,12744063,"pso",22,11
"487",18,12744064,12744258,"fixation",194,11
"488",18,12744259,12744296,"saccade",37,11
"489",18,12744297,12744319,"pso",22,11
"490",18,12744320,12744420,"fixation",100,11
"491",18,12744421,12744441,"saccade",20,11
"492",18,12744592,12744639,"saccade",47,11
"493",18,12744640,12744863,"fixation",223,11
"494",18,12744864,12744901,"saccade",37,11
"495",18,12744902,12744919,"pso",17,11
"496",18,12744920,12745040,"fixation",120,11
"497",19,12522683,12522846,"fixation",163,11
"498",19,12522847,12522980,"saccade",133,11
"499",19,12522981,12523033,"fixation",52,11
"500",19,12523034,12523217,"saccade",183,11
"501",19,12523218,12523337,"fixation",119,11
"502",19,12523338,12523440,"saccade",102,11
"503",19,12523441,12523592,"fixation",151,11
"504",19,12523593,12523650,"saccade",57,11
"505",19,12523651,12523812,"fixation",161,11
"506",19,12523813,12523843,"saccade",30,11
"507",19,12523844,12524061,"fixation",217,11
"508",19,12524062,12524079,"saccade",17,11
"509",19,12524080,12524089,"pso",9,11
"510",19,12524090,12524413,"fixation",323,11
"511",19,12524414,12524454,"saccade",40,11
"512",19,12524455,12524689,"fixation",234,11
"513",19,12524690,12524711,"saccade",21,11
"514",19,12524836,12524887,"saccade",51,11
"515",19,12524888,12525050,"fixation",162,11
"516",19,12525051,12525102,"saccade",51,11
"517",19,12525103,12525114,"pso",11,11
"518",19,12525115,12525314,"fixation",199,11
"519",19,12525315,12525371,"saccade",56,11
"520",19,12525372,12525389,"pso",17,11
"521",19,12525390,12525446,"fixation",56,11
"522",19,12525447,12525467,"saccade",20,11
"523",19,12525603,12525715,"saccade",112,11
"524",19,12525716,12525740,"pso",24,11
"525",19,12525741,12525887,"fixation",146,11
"526",19,12525888,12525944,"saccade",56,11
"527",19,12525945,12525964,"pso",19,11
"528",19,12525965,12526067,"fixation",102,11
"529",19,12526068,12526106,"saccade",38,11
"530",19,12526107,12526128,"pso",21,11
"531",19,12526129,12526270,"fixation",141,11
"532",20,12746483,12746682,"fixation",199,11
"533",20,12746683,12746751,"saccade",68,11
"534",20,12746752,12746961,"fixation",209,11
"535",20,12746962,12746995,"saccade",33,11
"536",20,12746996,12747010,"pso",14,11
"537",20,12747011,12747089,"fixation",78,11
"538",20,12747090,12747150,"saccade",60,11
"539",20,12747151,12747168,"pso",17,11
"540",20,12747169,12747334,"fixation",165,11
"541",20,12747335,12747377,"saccade",42,11
"542",20,12747378,12747397,"pso",19,11
"543",20,12747398,12747520,"fixation",122,11
"544",20,12747521,12747557,"saccade",36,11
"545",20,12747558,12747573,"pso",15,11
"546",20,12747574,12747641,"fixation",67,11
"547",20,12747642,12747670,"saccade",28,11
"548",20,12747778,12747823,"saccade",45,11
"549",21,12572757,12573020,"fixation",263,11
"550",21,12573021,12573063,"saccade",42,11
"551",21,12573064,12573088,"pso",24,11
"552",21,12573089,12573291,"fixation",202,11
"553",21,12573292,12573351,"saccade",59,11
"554",21,12573352,12573367,"pso",15,11
"555",21,12573368,12573518,"fixation",150,11
"556",21,12573519,12573559,"saccade",40,11
"557",21,12573560,12573579,"pso",19,11
"558",21,12573580,12573873,"fixation",293,11
"559",21,12573874,12573909,"saccade",35,11
"560",21,12573910,12573922,"pso",12,11
"561",21,12573923,12574051,"fixation",128,11
"562",21,12574052,12574094,"saccade",42,11
"563",21,12574095,12574109,"pso",14,11
"564",21,12574110,12574269,"fixation",159,11
"565",21,12574270,12574315,"saccade",45,11
"566",21,12574316,12574325,"pso",9,11
"567",21,12574326,12574441,"fixation",115,11
"568",21,12574442,12574469,"saccade",27,11
"569",21,12574590,12574683,"saccade",93,11
"570",21,12574684,12574719,"fixation",35,11
"571",21,12574720,12574794,"saccade",74,11
"572",21,12574795,12574815,"pso",20,11
"573",21,12574816,12574930,"fixation",114,11
"574",21,12574931,12575017,"saccade",86,11
"575",21,12575018,12575025,"unclear",7,11
"576",21,12575026,12575045,"pso",19,11
"577",21,12575046,12575110,"fixation",64,11
"578",22,12608008,12608181,"fixation",173,11
"579",22,12608182,12608222,"saccade",40,11
"580",22,12608223,12608233,"pso",10,11
"581",22,12608234,12608405,"fixation",171,11
"582",22,12608406,12608423,"saccade",17,11
"583",22,12608424,12608440,"pso",16,11
"584",22,12608441,12608710,"fixation",269,11
"585",22,12608711,12608744,"saccade",33,11
"586",22,12608745,12608770,"pso",25,11
"587",22,12608771,12608887,"fixation",116,11
"588",22,12608888,12608953,"saccade",65,11
"589",22,12608954,12608973,"pso",19,11
"590",22,12608974,12609138,"fixation",164,11
"591",22,12609139,12609190,"saccade",51,11
"592",22,12609191,12609212,"pso",21,11
"593",22,12609213,12609377,"fixation",164,11
"594",22,12609378,12609510,"saccade",132,11
"595",23,12528031,12528161,"fixation",130,11
"596",23,12528162,12528226,"saccade",64,11
"597",23,12528227,12528236,"pso",9,11
"598",23,12528237,12528475,"fixation",238,11
"599",23,12528476,12528529,"saccade",53,11
"600",23,12528530,12528549,"pso",19,11
"601",23,12528550,12528690,"fixation",140,11
"602",23,12528691,12528758,"saccade",67,11
"603",23,12528759,12528780,"pso",21,11
"604",23,12528781,12528984,"fixation",203,11
"605",23,12528985,12529027,"saccade",42,11
"606",23,12529028,12529048,"pso",20,11
"607",23,12529049,12529138,"fixation",89,11
"608",23,12529139,12529264,"saccade",125,11
"609",23,12529265,12529277,"pso",12,11
"610",23,12529278,12529285,"fixation",7,11
"611",24,12820409,12820424,"fixation",15,11
"612",24,12820425,12820461,"saccade",36,11
"613",24,12820462,12820486,"pso",24,11
"614",24,12820487,12820585,"fixation",98,11
"615",24,12820586,12820611,"saccade",25,11
"616",24,12820743,12820832,"saccade",89,11
"617",24,12820833,12821031,"fixation",198,11
"618",24,12821032,12821088,"saccade",56,11
"619",24,12821089,12821109,"pso",20,11
"620",24,12821110,12821226,"fixation",116,11
"621",24,12821227,12821245,"saccade",18,11
"622",24,12821246,12821273,"pso",27,11
"623",24,12821274,12821442,"fixation",168,11
"624",24,12821443,12821464,"saccade",21,11
"625",24,12821465,12821489,"pso",24,11
"626",24,12821490,12821666,"fixation",176,11
"627",24,12821667,12821751,"saccade",84,11
"628",24,12821752,12821773,"pso",21,11
"629",24,12821774,12821897,"fixation",123,11
"630",24,12821898,12821944,"saccade",46,11
"631",24,12821945,12822056,"fixation",111,11
"632",24,12822057,12822096,"saccade",39,11
"633",25,12752524,12752627,"fixation",103,11
"634",25,12752628,12752722,"saccade",94,11
"635",25,12752723,12752749,"pso",26,11
"636",25,12752750,12753041,"fixation",291,11
"637",25,12753042,12753115,"saccade",73,11
"638",25,12753116,12753222,"fixation",106,11
"639",25,12753223,12753281,"saccade",58,11
"640",25,12753282,12753300,"pso",18,11
"641",25,12753301,12753499,"fixation",198,11
